Pattern: metacluster_0pattern_0, Total seqlets: 5894
Pattern: metacluster_0pattern_1, Total seqlets: 4033
Pattern: metacluster_0pattern_2, Total seqlets: 2629
Pattern: metacluster_0pattern_3, Total seqlets: 914
Pattern: metacluster_0pattern_4, Total seqlets: 723
Pattern: metacluster_0pattern_5, Total seqlets: 702
Pattern: metacluster_0pattern_6, Total seqlets: 533
Pattern: metacluster_0pattern_7, Total seqlets: 453
Pattern: metacluster_0pattern_8, Total seqlets: 280
Pattern: metacluster_0pattern_9, Total seqlets: 276
Pattern: metacluster_0pattern_10, Total seqlets: 238
Pattern: metacluster_0pattern_11, Total seqlets: 212
Pattern: metacluster_0pattern_12, Total seqlets: 194
Pattern: metacluster_0pattern_13, Total seqlets: 186
Pattern: metacluster_0pattern_14, Total seqlets: 142
Pattern: metacluster_0pattern_15, Total seqlets: 112
Pattern: metacluster_0pattern_16, Total seqlets: 98
Pattern: metacluster_0pattern_17, Total seqlets: 93
Pattern: metacluster_1pattern_0, Total seqlets: 2806
Pattern: metacluster_1pattern_1, Total seqlets: 1785
Pattern: metacluster_1pattern_2, Total seqlets: 1377
Pattern: metacluster_1pattern_3, Total seqlets: 1242
Pattern: metacluster_1pattern_4, Total seqlets: 1119
Pattern: metacluster_1pattern_5, Total seqlets: 1057
Pattern: metacluster_1pattern_6, Total seqlets: 856
Pattern: metacluster_1pattern_7, Total seqlets: 715
Pattern: metacluster_1pattern_8, Total seqlets: 683
Pattern: metacluster_1pattern_9, Total seqlets: 625
Pattern: metacluster_1pattern_10, Total seqlets: 625
Pattern: metacluster_1pattern_11, Total seqlets: 373
Pattern: metacluster_1pattern_12, Total seqlets: 366
Pattern: metacluster_1pattern_13, Total seqlets: 350
Pattern: metacluster_1pattern_14, Total seqlets: 317
Pattern: metacluster_1pattern_15, Total seqlets: 312
Pattern: metacluster_1pattern_16, Total seqlets: 302
Pattern: metacluster_1pattern_17, Total seqlets: 296
Pattern: metacluster_1pattern_18, Total seqlets: 285
Pattern: metacluster_1pattern_19, Total seqlets: 274
Pattern: metacluster_1pattern_20, Total seqlets: 261
Pattern: metacluster_1pattern_21, Total seqlets: 217
Pattern: metacluster_1pattern_22, Total seqlets: 199
Pattern: metacluster_1pattern_23, Total seqlets: 196
Pattern: metacluster_1pattern_24, Total seqlets: 190
Pattern: metacluster_1pattern_25, Total seqlets: 110
Pattern: metacluster_1pattern_26, Total seqlets: 36
Pattern: metacluster_2pattern_0, Total seqlets: 3080
Pattern: metacluster_2pattern_1, Total seqlets: 1213
Pattern: metacluster_2pattern_2, Total seqlets: 796
Pattern: metacluster_2pattern_3, Total seqlets: 736
Pattern: metacluster_2pattern_4, Total seqlets: 658
Pattern: metacluster_2pattern_5, Total seqlets: 616
Pattern: metacluster_2pattern_6, Total seqlets: 607
Pattern: metacluster_2pattern_7, Total seqlets: 604
Pattern: metacluster_2pattern_8, Total seqlets: 566
Pattern: metacluster_2pattern_9, Total seqlets: 548
Pattern: metacluster_2pattern_10, Total seqlets: 540
Pattern: metacluster_2pattern_11, Total seqlets: 531
Pattern: metacluster_2pattern_12, Total seqlets: 500
Pattern: metacluster_2pattern_13, Total seqlets: 489
Pattern: metacluster_2pattern_14, Total seqlets: 434
Pattern: metacluster_2pattern_15, Total seqlets: 424
Pattern: metacluster_2pattern_16, Total seqlets: 387
Pattern: metacluster_2pattern_17, Total seqlets: 381
Pattern: metacluster_2pattern_18, Total seqlets: 378
Pattern: metacluster_2pattern_19, Total seqlets: 343
Pattern: metacluster_2pattern_20, Total seqlets: 339
Pattern: metacluster_2pattern_21, Total seqlets: 332
Pattern: metacluster_2pattern_22, Total seqlets: 327
Pattern: metacluster_2pattern_23, Total seqlets: 323
Pattern: metacluster_2pattern_24, Total seqlets: 308
Pattern: metacluster_2pattern_25, Total seqlets: 299
Pattern: metacluster_2pattern_26, Total seqlets: 275
Pattern: metacluster_2pattern_27, Total seqlets: 265
Pattern: metacluster_2pattern_28, Total seqlets: 256
Pattern: metacluster_2pattern_29, Total seqlets: 42
Pattern: metacluster_3pattern_0, Total seqlets: 5143
Pattern: metacluster_3pattern_1, Total seqlets: 2894
Pattern: metacluster_3pattern_2, Total seqlets: 2839
Pattern: metacluster_3pattern_3, Total seqlets: 2378
Pattern: metacluster_3pattern_4, Total seqlets: 554
Pattern: metacluster_3pattern_5, Total seqlets: 532
Pattern: metacluster_3pattern_6, Total seqlets: 507
Pattern: metacluster_3pattern_7, Total seqlets: 485
Pattern: metacluster_3pattern_8, Total seqlets: 419
Pattern: metacluster_3pattern_9, Total seqlets: 409
Pattern: metacluster_3pattern_10, Total seqlets: 398
Pattern: metacluster_3pattern_11, Total seqlets: 318
Pattern: metacluster_3pattern_12, Total seqlets: 280
Pattern: metacluster_3pattern_13, Total seqlets: 229
Pattern: metacluster_3pattern_14, Total seqlets: 178
Pattern: metacluster_3pattern_15, Total seqlets: 168
Pattern: metacluster_3pattern_16, Total seqlets: 153
Pattern: metacluster_3pattern_17, Total seqlets: 102
Pattern: metacluster_3pattern_18, Total seqlets: 61
Pattern: metacluster_4pattern_0, Total seqlets: 2593
Pattern: metacluster_4pattern_1, Total seqlets: 2560
Pattern: metacluster_4pattern_2, Total seqlets: 1839
Pattern: metacluster_4pattern_3, Total seqlets: 988
Pattern: metacluster_4pattern_4, Total seqlets: 831
Pattern: metacluster_4pattern_5, Total seqlets: 579
Pattern: metacluster_4pattern_6, Total seqlets: 406
