Pattern: metacluster_0pattern_0, Total seqlets: 7635
Pattern: metacluster_0pattern_1, Total seqlets: 4532
Pattern: metacluster_0pattern_2, Total seqlets: 2350
Pattern: metacluster_0pattern_3, Total seqlets: 745
Pattern: metacluster_0pattern_4, Total seqlets: 522
Pattern: metacluster_0pattern_5, Total seqlets: 488
Pattern: metacluster_0pattern_6, Total seqlets: 487
Pattern: metacluster_0pattern_7, Total seqlets: 442
Pattern: metacluster_0pattern_8, Total seqlets: 349
Pattern: metacluster_0pattern_9, Total seqlets: 325
Pattern: metacluster_0pattern_10, Total seqlets: 288
Pattern: metacluster_0pattern_11, Total seqlets: 164
Pattern: metacluster_0pattern_12, Total seqlets: 120
Pattern: metacluster_0pattern_13, Total seqlets: 119
Pattern: metacluster_0pattern_14, Total seqlets: 69
Pattern: metacluster_0pattern_15, Total seqlets: 66
Pattern: metacluster_0pattern_16, Total seqlets: 48
Pattern: metacluster_0pattern_17, Total seqlets: 30
Pattern: metacluster_1pattern_0, Total seqlets: 2872
Pattern: metacluster_1pattern_1, Total seqlets: 2615
Pattern: metacluster_1pattern_2, Total seqlets: 2239
Pattern: metacluster_1pattern_3, Total seqlets: 1390
Pattern: metacluster_1pattern_4, Total seqlets: 891
Pattern: metacluster_1pattern_5, Total seqlets: 767
Pattern: metacluster_1pattern_6, Total seqlets: 749
Pattern: metacluster_1pattern_7, Total seqlets: 589
Pattern: metacluster_1pattern_8, Total seqlets: 566
Pattern: metacluster_1pattern_9, Total seqlets: 544
Pattern: metacluster_1pattern_10, Total seqlets: 493
Pattern: metacluster_1pattern_11, Total seqlets: 487
Pattern: metacluster_1pattern_12, Total seqlets: 435
Pattern: metacluster_1pattern_13, Total seqlets: 425
Pattern: metacluster_1pattern_14, Total seqlets: 417
Pattern: metacluster_1pattern_15, Total seqlets: 413
Pattern: metacluster_1pattern_16, Total seqlets: 401
Pattern: metacluster_1pattern_17, Total seqlets: 360
Pattern: metacluster_1pattern_18, Total seqlets: 301
Pattern: metacluster_1pattern_19, Total seqlets: 297
Pattern: metacluster_1pattern_20, Total seqlets: 281
Pattern: metacluster_1pattern_21, Total seqlets: 226
Pattern: metacluster_1pattern_22, Total seqlets: 217
Pattern: metacluster_1pattern_23, Total seqlets: 207
Pattern: metacluster_2pattern_0, Total seqlets: 3745
Pattern: metacluster_2pattern_1, Total seqlets: 613
Pattern: metacluster_2pattern_2, Total seqlets: 332
Pattern: metacluster_2pattern_3, Total seqlets: 234
Pattern: metacluster_2pattern_4, Total seqlets: 191
Pattern: metacluster_2pattern_5, Total seqlets: 166
Pattern: metacluster_2pattern_6, Total seqlets: 156
Pattern: metacluster_2pattern_7, Total seqlets: 135
Pattern: metacluster_2pattern_8, Total seqlets: 102
Pattern: metacluster_2pattern_9, Total seqlets: 55
Pattern: metacluster_3pattern_0, Total seqlets: 861
Pattern: metacluster_3pattern_1, Total seqlets: 834
Pattern: metacluster_3pattern_2, Total seqlets: 388
Pattern: metacluster_3pattern_3, Total seqlets: 316
Pattern: metacluster_3pattern_4, Total seqlets: 310
Pattern: metacluster_3pattern_5, Total seqlets: 270
Pattern: metacluster_3pattern_6, Total seqlets: 237
Pattern: metacluster_3pattern_7, Total seqlets: 234
Pattern: metacluster_3pattern_8, Total seqlets: 214
Pattern: metacluster_3pattern_9, Total seqlets: 205
Pattern: metacluster_3pattern_10, Total seqlets: 200
Pattern: metacluster_3pattern_11, Total seqlets: 195
Pattern: metacluster_3pattern_12, Total seqlets: 136
Pattern: metacluster_3pattern_13, Total seqlets: 127
Pattern: metacluster_3pattern_14, Total seqlets: 118
Pattern: metacluster_3pattern_15, Total seqlets: 117
Pattern: metacluster_3pattern_16, Total seqlets: 116
Pattern: metacluster_3pattern_17, Total seqlets: 114
Pattern: metacluster_3pattern_18, Total seqlets: 113
Pattern: metacluster_3pattern_19, Total seqlets: 105
Pattern: metacluster_3pattern_20, Total seqlets: 68
Pattern: metacluster_3pattern_21, Total seqlets: 48
Pattern: metacluster_4pattern_0, Total seqlets: 964
Pattern: metacluster_4pattern_1, Total seqlets: 261
Pattern: metacluster_4pattern_2, Total seqlets: 165
Pattern: metacluster_4pattern_3, Total seqlets: 162
Pattern: metacluster_4pattern_4, Total seqlets: 154
Pattern: metacluster_4pattern_5, Total seqlets: 144
Pattern: metacluster_4pattern_6, Total seqlets: 123
Pattern: metacluster_4pattern_7, Total seqlets: 107
Pattern: metacluster_4pattern_8, Total seqlets: 103
Pattern: metacluster_4pattern_9, Total seqlets: 98
Pattern: metacluster_4pattern_10, Total seqlets: 94
Pattern: metacluster_4pattern_11, Total seqlets: 84
Pattern: metacluster_4pattern_12, Total seqlets: 78
Pattern: metacluster_4pattern_13, Total seqlets: 76
Pattern: metacluster_4pattern_14, Total seqlets: 72
Pattern: metacluster_4pattern_15, Total seqlets: 55
Pattern: metacluster_4pattern_16, Total seqlets: 49
Pattern: metacluster_4pattern_17, Total seqlets: 37
Pattern: metacluster_5pattern_0, Total seqlets: 1006
Pattern: metacluster_5pattern_1, Total seqlets: 654
Pattern: metacluster_5pattern_2, Total seqlets: 624
Pattern: metacluster_5pattern_3, Total seqlets: 184
Pattern: metacluster_5pattern_4, Total seqlets: 176
Pattern: metacluster_5pattern_5, Total seqlets: 129
